,Name,Total Population,Public Use Microdata Area,Year
123,"Will County (Northwest Central)--Plainfield & Lockport Townships PUMA, Illinois",140432,03105,2013
124,"Will County (Northwest)--DuPage & Wheatland Townships PUMA, Illinois",169939,03106,2013
125,"Will County (Northeast)--Frankfort, Homer & New Lenox (North) Townships PUMA; Illinois",123432,03107,2013
126,"Will County (South) PUMA, Illinois",111996,03108,2013
127,"DuPage County (Central)--Milton Township PUMA, Illinois",117751,03202,2013
128,"DuPage County (South Central)--Lisle Township PUMA, Illinois",117079,03203,2013
129,"DuPage County (Southeast)--Downers Grove Township PUMA, Illinois",147753,03204,2013
130,"DuPage County (East Central)--York Township PUMA, Illinois",124382,03205,2013
131,"Dupage County (Northeast)--Addison & Bloomingdale (North) Townships PUMA, Illinois",116410,03207,2013
132,"DuPage County (Northwest)--Bloomingdale (South), Wayne & Winfield (North) Townships PUMA; Illinois",178502,03208,2013
133,"DuPage County (Southwest)--Naperville & Winfield (South) Townships PUMA, Illinois",120926,03209,2013
134,"Lake County (Northwest)--Avon, Lake Villa, Antioch & Grant Townships PUMA; Illinois",159246,03306,2013
135,"Lake County (Northeast)--Waukegan, Zion, Benton & Newport Townships PUMA; Illinois",140856,03307,2013
136,"Lake County (Southwest)--Ela, Freemont, Wauconda & Cuba Townships PUMA; Illinois",113813,03308,2013
137,"Lake County (East Central)--Warren, Libertyville (North & East) & Shields Townships PUMA; Illinois",154232,03309,2013
138,"Lake County--Vernon, Moraine, West Deerfield & Libertyville (Southeast) Townships PUMA; Illinois",134058,03310,2013
139,"Cook County (Northwest)--Palatine & Barrington Townships PUMA, Illinois",127709,03401,2013
140,"Cook County (West Central)--Proviso, Riverside & River Forest Townships PUMA; Illinois",178686,03407,2013
141,"Cook County (Central)--Cicero, Berwyn & Oak Park Townships PUMA; Illinois",192458,03408,2013
142,"Cook County (West Central)--Lyons & Stickney Townships PUMA, Illinois",153022,03409,2013
143,"Cook County (Southwest)--Orland (West & Central), Palos & Lemont Townships PUMA; Illinois",174400,03410,2013
144,"Cook County (South Central)--Worth & Calumet Townships PUMA, Illinois",173838,03411,2013
145,"Cook County (South Central)--Bremen & Orland (East) Townships PUMA, Illinois",110194,03412,2013
146,"Cook County (Southeast)--Thornton Township PUMA, Illinois",169768,03413,2013
147,"Cook County (South)--Bloom & Rich Townships PUMA, Illinois",168006,03414,2013
148,"Cook County (North)--Wheeling Township (North & East) PUMA, Illinois",125950,03415,2013
149,"Cook County (Northeast)--Northfield & New Trier Townships PUMA, Illinois",141142,03416,2013
150,"Cook County (Northwest)--Hanover & Schaumburg (Northwest) Townships PUMA, Illinois",120515,03417,2013
151,"Cook County (Northwest)--Schaumburg Township (South & Central) PUMA, Illinois",111040,03418,2013
152,"Cook County (Northwest)--Elk Grove & Wheeling (Southwest) Townships PUMA, Illinois",122860,03419,2013
153,"Cook County (North)--Maine, Norwood Park Townships & Chicago City--Edison Park PUMA; Illinois",186248,03420,2013
154,"Cook County (North)--Niles & Evanston Townships PUMA, Illinois",181017,03421,2013
155,"Cook County (West)--Leyden, Norwood Park (South) Townships & Chicago City--O'Hare PUMA; Illinois",131303,03422,2013
156,"Chicago City (North)--Edgewater, Uptown & Rogers Park PUMA; Illinois",167162,03501,2013
157,"Chicago City (North)--Lake View & Lincoln Park PUMA, Illinois",162430,03502,2013
158,"Chicago City (North)--West Ridge, Lincoln Square & North Center PUMA; Illinois",146506,03503,2013
159,"Chicago City (Northwest)--Irving Park, Albany Park, Forest Glen & North Park PUMA; Illinois",148787,03504,2013
160,"Chicago City (Northwest)--Portage Park, Dunning & Jefferson Park PUMA; Illinois",133211,03520,2013
161,"Chicago City (West)--Austin, Belmont Cragin & Montclare PUMA; Illinois",188559,03521,2013
162,"Chicago City (Northwest)--Logan Square, Avondale & Hermosa PUMA; Illinois",139456,03522,2013
163,"Chicago City (West)--North & South Lawndale, Humboldt Park, East & West Garfield Park PUMA; Illinois",198328,03523,2013
164,"Chicago City (West)--West Town, Near West Side & Lower West Side PUMA; Illinois",174862,03524,2013
165,"Chicago City (Central)--Near North Side, Loop & Near South Side PUMA; Illinois",132871,03525,2013
166,"Chicago City (Southwest)--Brighton Park, New City, Bridgeport & McKinley Park PUMA; Illinois",162754,03526,2013
167,"Chicago City (Southwest)--Gage Park, Garfield Ridge & West Lawn PUMA; Illinois",150404,03527,2013
168,"Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA; Illinois",151395,03528,2013
169,"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois",180854,03529,2013
170,"Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly PUMA; Illinois",132789,03530,2013
171,"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois",138115,03531,2013
172,"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois",135733,03532,2013
173,"McHenry County (North, West & Central) PUMA; Illinois",134221,03601,2013
174,"McHenry County (Southeast)--Algonquin, McHenry & Nunda Townships PUMA; Illinois",173733,03602,2013
175,"Kendall & Grundy Counties PUMA, Illinois",166430,03700,2013
176,"Jo Daviess, Carroll, Whiteside & Lee Counties PUMA; Illinois",130382,00104,2014
177,"Rock Island County PUMA, Illinois",146964,00105,2014
178,"Henry, Mercer, Henderson, Warren, Hancock, McDonough & Fulton Counties PUMA; Illinois",178905,00202,2014
179,"Adams, Pike, Brown, Schuyler & Mason Counties PUMA; Illinois",111998,00300,2014
180,"Cass, Morgan, Scott, Greene, Macoupin, Jersey & Calhoun Counties PUMA; Illinois",142662,00401,2014
181,"Montgomery, Bond, Clinton, Fayette & Effingham Counties PUMA; Illinois",141584,00501,2014
182,"Douglas, Edgar, Coles & Cumberland Counties PUMA; Illinois",102643,00600,2014
183,"Clark, Jasper, Crawford, Lawrence, Richland, Clay & Wayne Counties PUMA; Illinois",108696,00700,2014
184,"South & Southeast Illinois PUMA, Illinois",139446,00800,2014
185,"Jackson, Williamson, Franklin & Perry Counties PUMA; Illinois",188741,00900,2014
186,"Monroe, Randolph, Washington, Jefferson & Marion Counties PUMA; Illinois",158629,01001,2014
187,"St. Clair County (Central & Northeast) PUMA, Illinois",151166,01104,2014
188,"St. Clair County (Northwest, Southwest & Southeast) PUMA; Illinois",117249,01105,2014
189,"Madison County (East) PUMA, Illinois",121395,01204,2014
190,"Madison County (West)--Granite City, Alton, Wood River Cities & Godfrey Village PUMA; Illinois",146542,01205,2014
191,"Sangamon County--Springfield City PUMA, Illinois",198808,01300,2014
192,"Macon County--Decatur City PUMA, Illinois",109833,01500,2014
193,"Menard, Logan, De Witt, Piatt, Moultrie, Shelby & Christian Counties PUMA; Illinois",147245,01602,2014
194,"Peoria County--Peoria City PUMA, Illinois",187197,01701,2014
195,"Tazewell County PUMA, Illinois",135872,01900,2014
196,"McLean County PUMA, Illinois",172390,02000,2014
197,"Champaign County--Champaign & Urbana Cities PUMA, Illinois",204214,02100,2014
198,"Livingston, Ford, Iroquois & Vermilion Counties PUMA; Illinois",162427,02200,2014
199,"Kankakee County PUMA, Illinois",112682,02300,2014
200,"LaSalle County PUMA, Illinois",112698,02400,2014
201,"Knox, Stark, Bureau, Marshall & Woodford Counties PUMA; Illinois",149875,02501,2014
202,"DeKalb County PUMA, Illinois",104919,02601,2014
203,"Stephenson & Ogle Counties PUMA, Illinois",99835,02700,2014
204,"Winnebago County (Southeast & West)--Rockford City PUMA, Illinois",201671,02801,2014
205,"Winnebago (Northeast) & Boone Counties PUMA, Illinois",144360,02901,2014
206,"Kane County (Southeast)--Aurora Township PUMA, Illinois",147345,03005,2014
207,"Kane County (East)--St. Charles, Batavia (Central) & Geneva (Central) Townships PUMA; Illinois",117531,03007,2014
208,"Kane County (Northeast)--Elgin (North & Central) & Dundee Townships PUMA, Illinois",139722,03008,2014
209,"Kane County (West) PUMA, Illinois",117276,03009,2014
210,"Will County (West Central)--Joliet & Troy Townships PUMA, Illinois",134031,03102,2014
211,"Will County (Northwest Central)--Plainfield & Lockport Townships PUMA, Illinois",141137,03105,2014
212,"Will County (Northwest)--DuPage & Wheatland Townships PUMA, Illinois",170812,03106,2014
213,"Will County (Northeast)--Frankfort, Homer & New Lenox (North) Townships PUMA; Illinois",123928,03107,2014
214,"Will County (South) PUMA, Illinois",112200,03108,2014
215,"DuPage County (Central)--Milton Township PUMA, Illinois",118164,03202,2014
216,"DuPage County (South Central)--Lisle Township PUMA, Illinois",117607,03203,2014
217,"DuPage County (Southeast)--Downers Grove Township PUMA, Illinois",148306,03204,2014
218,"DuPage County (East Central)--York Township PUMA, Illinois",124874,03205,2014
219,"Dupage County (Northeast)--Addison & Bloomingdale (North) Townships PUMA, Illinois",116869,03207,2014
