,Public Use Area,Community,"Community 
Number",Total Population,Year
104,"Chicago City (West)--North & South Lawndale, Humboldt Park, East & West Garfield Park PUMA; Illinois",West Garfield Park,26.0,201675.0,2012.0
105,"Chicago City (West)--North & South Lawndale, Humboldt Park, East & West Garfield Park PUMA; Illinois",West Garfield Park,26.0,198328.0,2013.0
106,"Chicago City (West)--North & South Lawndale, Humboldt Park, East & West Garfield Park PUMA; Illinois",West Garfield Park,26.0,202175.0,2014.0
107,"Chicago City (West)--North & South Lawndale, Humboldt Park, East & West Garfield Park PUMA; Illinois",West Garfield Park,26.0,202511.0,2015.0
109,"Chicago City (West)--West Town, Near West Side & Lower West Side PUMA; Illinois",Near West Side,28.0,174815.0,2012.0
110,"Chicago City (West)--West Town, Near West Side & Lower West Side PUMA; Illinois",Near West Side,28.0,174862.0,2013.0
111,"Chicago City (West)--West Town, Near West Side & Lower West Side PUMA; Illinois",Near West Side,28.0,178197.0,2014.0
112,"Chicago City (West)--West Town, Near West Side & Lower West Side PUMA; Illinois",Near West Side,28.0,181760.0,2015.0
114,"Chicago City (West)--North & South Lawndale, Humboldt Park, East & West Garfield Park PUMA; Illinois",South Lawndale,30.0,201675.0,2012.0
115,"Chicago City (West)--North & South Lawndale, Humboldt Park, East & West Garfield Park PUMA; Illinois",South Lawndale,30.0,198328.0,2013.0
116,"Chicago City (West)--North & South Lawndale, Humboldt Park, East & West Garfield Park PUMA; Illinois",South Lawndale,30.0,202175.0,2014.0
117,"Chicago City (West)--North & South Lawndale, Humboldt Park, East & West Garfield Park PUMA; Illinois",South Lawndale,30.0,202511.0,2015.0
118,"Chicago City (West)--West Town, Near West Side & Lower West Side PUMA; Illinois",Lower West Side,31.0,174815.0,2012.0
119,"Chicago City (West)--West Town, Near West Side & Lower West Side PUMA; Illinois",Lower West Side,31.0,174862.0,2013.0
120,"Chicago City (West)--West Town, Near West Side & Lower West Side PUMA; Illinois",Lower West Side,31.0,178197.0,2014.0
121,"Chicago City (West)--West Town, Near West Side & Lower West Side PUMA; Illinois",Lower West Side,31.0,181760.0,2015.0
122,"Chicago City (Central)--Near North Side, Loop & Near South Side PUMA; Illinois",Loop,32.0,127124.0,2012.0
123,"Chicago City (Central)--Near North Side, Loop & Near South Side PUMA; Illinois",Loop,32.0,132871.0,2013.0
124,"Chicago City (Central)--Near North Side, Loop & Near South Side PUMA; Illinois",Loop,32.0,136968.0,2014.0
125,"Chicago City (Central)--Near North Side, Loop & Near South Side PUMA; Illinois",Loop,32.0,141554.0,2015.0
126,"Chicago City (Central)--Near North Side, Loop & Near South Side PUMA; Illinois",Near South Side,33.0,127124.0,2012.0
127,"Chicago City (Central)--Near North Side, Loop & Near South Side PUMA; Illinois",Near South Side,33.0,132871.0,2013.0
128,"Chicago City (Central)--Near North Side, Loop & Near South Side PUMA; Illinois",Near South Side,33.0,136968.0,2014.0
129,"Chicago City (Central)--Near North Side, Loop & Near South Side PUMA; Illinois",Near South Side,33.0,141554.0,2015.0
131,"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois",Douglas,35.0,179284.0,2012.0
